vintage,title,distributiondescription
1998,1998 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1998/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1990,1990 Decennial Census of Population and Housing - Summary File 1: Summary File 1,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1990/sf1', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1990,1990 Decennial Census of Population and Housing - Summary File 3: Summary File 3,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1990/sf3', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 Decennial: Summary File 3,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/sf3', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1998,1998 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1998/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1991,1991 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1991/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 Decennial Census of Population and Housing: Surnames,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/surname', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1992,1992 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1992/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1993,1993 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1993/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1998,1998 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1998/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1994,1994 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1994/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2001,2001 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2001/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1994,1994 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1994/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1996,1996 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1996/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2001,2001 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2001/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2001,2001 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2001/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1997,1997 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1997/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1999,1999 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1999/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
1997,1997 Economic Census - All Sectors: Economy-Wide Key Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1997/ewks', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 Population Estimates - 2000-2010 Intercensal Estimates: Characteristics by Single Year of Age,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/pep/int_charage', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2006,2006 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2006/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 Population Estimates - 2000-2010 Intercensal Estimates: Characteristics by Age Groups,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/pep/int_charagegroups', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2007,2007 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2007/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 Population Estimates - 2000-2010 Intercensal Estimates: Housing Units,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/pep/int_housingunits', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2007,2007 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2007/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,2011 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 Population Estimates - 2000-2010 Intercensal Estimates: National Monthly Population Estimates,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/pep/int_natmonthly', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2007,2007 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2007/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2000,2000 Population Estimates - 2000-2010 Intercensal Estimates: Population,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/pep/int_population', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2002,2002 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2002/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2008,2008 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2008/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2002,2002 Economic Census - All Sectors: Economy-Wide Key Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2002/ewks', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2008,2008 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2008/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2002,2002 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2002/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2002,2002 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2002/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2008,2008 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2008/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2003,2003 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2003/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2009,2005-2009 American Community Survey 5-Year Estimates,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2009/acs5', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2003,2003 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2003/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2003,2003 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2003/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2004,2004 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2004/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2009,2005-2009 American Community Survey: Migration Flows,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2009/acs/flows', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2004,2004 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2004/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,2010 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2009,2009 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2009/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2004,2004 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2004/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2005,2005 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2005/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2009,2009 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2009/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2005,2005 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2005/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2005,2005 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2005/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2009,2009 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2009/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2006,2006 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2006/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2006,2006 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2006/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,Decennial SF1,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/dec/sf1', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2007,2007 Economic Census - All Sectors: Economy-Wide Key Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2007/ewks', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,ACS 1-Year Detailed Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/acs/acs1', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,ACS 1-Year Comparison Profiles,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/acs/acs1/cprofile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,ACS 1-Year Data Profiles,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/acs/acs1/profile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,ACS 1-Year Subject Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/acs/acs1/subject', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,ACS 5-Year Detailed Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/acs/acs5', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,ACS 5-Year Data Profiles,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/acs/acs5/profile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,ACS 5-Year Subject Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/acs/acs5/subject', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,2006-2010 American Community Survey: Migration Flows,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/acs/flows', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,Decennial CD113,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/dec/cd113', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,Decennial CD115,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/dec/cd115', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,Decennial SF2,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/dec/sf2', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,2010 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,2010 Decennial Census of Population and Housing: Surnames,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/surname', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2010,2010 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/zbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,2011 American Community Survey 1-Year Profiles for the 113th Congressional Districts,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs1/cd113', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,ACS 1-Year Detailed Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs/acs1', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,ACS 1-Year Comparison Profiles,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs/acs1/cprofile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,ACS 1-Year Data Profiles,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs/acs1/profile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,ACS 1-Year Subject Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs/acs1/subject', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,ACS 5-Year Detailed Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs/acs5', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,ACS 5-Year Data Profile,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs/acs5/profile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,ACS 5-Year Subject Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs/acs5/subject', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,2007-2011 American Community Survey: Migration Flows,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs/flows', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,2011 County Business Patterns: Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2011,2011 Nonemployer Statistics: Non Employer Statistics,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/nonemp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,Finance and Insurance: Subject Series - Misc Subjects: Brokering and Dealing Services Income for the U.S.: 2012,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/ecnbranddeal', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,ACS 1-Year Detailed Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/acs/acs1', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,2008-2012 American Community Survey: Migration Flows,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/acs/flows', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,2012 County Business Patterns,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,ACS 1-Year Comparison Profiles,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/acs/acs1/cprofile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,ACS 1-Year Data Profiles,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/acs/acs1/profile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,"Finance and Insurance: Subject Series - Misc Subjects: Administrative Expenses and Benefits Paid for Life, Health, and Medical Insurance Carriers for the U.S.: 2012","[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/ecnadmben', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,ACS 5-Year Subject Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/acs/acs5/subject', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,ACS 1-Year Subject Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/acs/acs1/subject', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,ACS 5-Year Detailed Tables,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/acs/acs5', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,2012 Economic Census - Economic Census US Basic Data,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/ecnbasic', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,2012 Survey of Business Owners: Company Summary,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/sbo', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
2012,ACS 5-Year Data Profiles,"[{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/acs/acs5/profile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}]"
