location,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,Location
"Alabama, Colbert",2000,Alabama,AL,Colbert,George W. Bush,republican,10518.0,21532,"Alabama, Colbert"
"Alabama, Colbert",2000,Alabama,AL,Colbert,Ralph Nader,green,208.0,21532,"Alabama, Colbert"
"Alabama, Conecuh",2000,Alabama,AL,Conecuh,Al Gore,democrat,2783.0,5551,"Alabama, Conecuh"
"Alabama, Conecuh",2000,Alabama,AL,Conecuh,George W. Bush,republican,2699.0,5551,"Alabama, Conecuh"
"Alabama, Conecuh",2000,Alabama,AL,Conecuh,Ralph Nader,green,35.0,5551,"Alabama, Conecuh"
"Alabama, Coosa",2000,Alabama,AL,Coosa,Al Gore,democrat,2104.0,4567,"Alabama, Coosa"
"Alabama, Coosa",2000,Alabama,AL,Coosa,George W. Bush,republican,2382.0,4567,"Alabama, Coosa"
"Alabama, Coosa",2000,Alabama,AL,Coosa,Ralph Nader,green,34.0,4567,"Alabama, Coosa"
"Alabama, Covington",2000,Alabama,AL,Covington,Al Gore,democrat,4440.0,13613,"Alabama, Covington"
"Alabama, Covington",2000,Alabama,AL,Covington,George W. Bush,republican,8961.0,13613,"Alabama, Covington"
"Alabama, Covington",2000,Alabama,AL,Covington,Ralph Nader,green,123.0,13613,"Alabama, Covington"
"Alabama, Crenshaw",2000,Alabama,AL,Crenshaw,Al Gore,democrat,1934.0,4795,"Alabama, Crenshaw"
"Alabama, Crenshaw",2000,Alabama,AL,Crenshaw,George W. Bush,republican,2793.0,4795,"Alabama, Crenshaw"
"Alabama, Crenshaw",2000,Alabama,AL,Crenshaw,Ralph Nader,green,40.0,4795,"Alabama, Crenshaw"
"Alabama, Cullman",2000,Alabama,AL,Cullman,Al Gore,democrat,9758.0,29525,"Alabama, Cullman"
"Alabama, Cullman",2000,Alabama,AL,Cullman,George W. Bush,republican,19157.0,29525,"Alabama, Cullman"
"Alabama, Cullman",2000,Alabama,AL,Cullman,Ralph Nader,green,282.0,29525,"Alabama, Cullman"
"Alabama, Dale",2000,Alabama,AL,Dale,Al Gore,democrat,4906.0,15806,"Alabama, Dale"
"Alabama, Dale",2000,Alabama,AL,Dale,George W. Bush,republican,10593.0,15806,"Alabama, Dale"
"Alabama, Dale",2000,Alabama,AL,Dale,Ralph Nader,green,188.0,15806,"Alabama, Dale"
"Alabama, Dallas",2000,Alabama,AL,Dallas,Al Gore,democrat,10967.0,18464,"Alabama, Dallas"
"Alabama, Dallas",2000,Alabama,AL,Dallas,George W. Bush,republican,7360.0,18464,"Alabama, Dallas"
"Alabama, Dallas",2000,Alabama,AL,Dallas,Ralph Nader,green,63.0,18464,"Alabama, Dallas"
"Alabama, DeKalb",2000,Alabama,AL,DeKalb,Al Gore,democrat,7056.0,20285,"Alabama, DeKalb"
"Alabama, DeKalb",2000,Alabama,AL,DeKalb,George W. Bush,republican,12827.0,20285,"Alabama, DeKalb"
"Alabama, DeKalb",2000,Alabama,AL,DeKalb,Ralph Nader,green,175.0,20285,"Alabama, DeKalb"
"Alabama, Elmore",2000,Alabama,AL,Elmore,Al Gore,democrat,6652.0,23804,"Alabama, Elmore"
"Alabama, Elmore",2000,Alabama,AL,Elmore,George W. Bush,republican,16777.0,23804,"Alabama, Elmore"
"Alabama, Elmore",2000,Alabama,AL,Elmore,Ralph Nader,green,212.0,23804,"Alabama, Elmore"
"Alabama, Escambia",2000,Alabama,AL,Escambia,Al Gore,democrat,4523.0,11660,"Alabama, Escambia"
"Alabama, Escambia",2000,Alabama,AL,Escambia,George W. Bush,republican,6975.0,11660,"Alabama, Escambia"
"Alabama, Escambia",2000,Alabama,AL,Escambia,Ralph Nader,green,78.0,11660,"Alabama, Escambia"
"Alabama, Etowah",2000,Alabama,AL,Etowah,Al Gore,democrat,17433.0,39348,"Alabama, Etowah"
"Alabama, Etowah",2000,Alabama,AL,Etowah,George W. Bush,republican,21087.0,39348,"Alabama, Etowah"
"Alabama, Etowah",2000,Alabama,AL,Etowah,Ralph Nader,green,435.0,39348,"Alabama, Etowah"
"Alabama, Fayette",2000,Alabama,AL,Fayette,Al Gore,democrat,3064.0,7808,"Alabama, Fayette"
"Alabama, Fayette",2000,Alabama,AL,Fayette,George W. Bush,republican,4582.0,7808,"Alabama, Fayette"
"Alabama, Fayette",2000,Alabama,AL,Fayette,Ralph Nader,green,60.0,7808,"Alabama, Fayette"
"Alabama, Franklin",2000,Alabama,AL,Franklin,Al Gore,democrat,4793.0,11103,"Alabama, Franklin"
"Alabama, Franklin",2000,Alabama,AL,Franklin,George W. Bush,republican,6119.0,11103,"Alabama, Franklin"
"Alabama, Franklin",2000,Alabama,AL,Franklin,Ralph Nader,green,72.0,11103,"Alabama, Franklin"
"Alabama, Geneva",2000,Alabama,AL,Geneva,Al Gore,democrat,2769.0,9559,"Alabama, Geneva"
"Alabama, Geneva",2000,Alabama,AL,Geneva,George W. Bush,republican,6588.0,9559,"Alabama, Geneva"
"Alabama, Geneva",2000,Alabama,AL,Geneva,Ralph Nader,green,97.0,9559,"Alabama, Geneva"
"Alabama, Greene",2000,Alabama,AL,Greene,Al Gore,democrat,3504.0,4396,"Alabama, Greene"
"Alabama, Greene",2000,Alabama,AL,Greene,George W. Bush,republican,850.0,4396,"Alabama, Greene"
"Alabama, Greene",2000,Alabama,AL,Greene,Ralph Nader,green,24.0,4396,"Alabama, Greene"
"Alabama, Hale",2000,Alabama,AL,Hale,Al Gore,democrat,4652.0,7731,"Alabama, Hale"
"Alabama, Hale",2000,Alabama,AL,Hale,George W. Bush,republican,2984.0,7731,"Alabama, Hale"
"Alabama, Hale",2000,Alabama,AL,Hale,Ralph Nader,green,43.0,7731,"Alabama, Hale"
"Alabama, Henry",2000,Alabama,AL,Henry,Al Gore,democrat,2782.0,6932,"Alabama, Henry"
"Alabama, Henry",2000,Alabama,AL,Henry,George W. Bush,republican,4054.0,6932,"Alabama, Henry"
"Alabama, Henry",2000,Alabama,AL,Henry,Ralph Nader,green,48.0,6932,"Alabama, Henry"
"Alabama, Houston",2000,Alabama,AL,Houston,Al Gore,democrat,9412.0,32057,"Alabama, Houston"
"Alabama, Houston",2000,Alabama,AL,Houston,George W. Bush,republican,22150.0,32057,"Alabama, Houston"
"Alabama, Houston",2000,Alabama,AL,Houston,Ralph Nader,green,257.0,32057,"Alabama, Houston"
"Alabama, Jackson",2000,Alabama,AL,Jackson,Al Gore,democrat,9066.0,17906,"Alabama, Jackson"
"Alabama, Jackson",2000,Alabama,AL,Jackson,George W. Bush,republican,8475.0,17906,"Alabama, Jackson"
"Alabama, Jackson",2000,Alabama,AL,Jackson,Ralph Nader,green,184.0,17906,"Alabama, Jackson"
"Alabama, Jefferson",2000,Alabama,AL,Jefferson,Al Gore,democrat,129889.0,273763,"Alabama, Jefferson"
"Alabama, Jefferson",2000,Alabama,AL,Jefferson,George W. Bush,republican,138491.0,273763,"Alabama, Jefferson"
"Alabama, Jefferson",2000,Alabama,AL,Jefferson,Ralph Nader,green,3393.0,273763,"Alabama, Jefferson"
"Alabama, Lamar",2000,Alabama,AL,Lamar,Al Gore,democrat,2653.0,7249,"Alabama, Lamar"
"Alabama, Lamar",2000,Alabama,AL,Lamar,George W. Bush,republican,4470.0,7249,"Alabama, Lamar"
"Alabama, Lamar",2000,Alabama,AL,Lamar,Ralph Nader,green,57.0,7249,"Alabama, Lamar"
"Alabama, Lauderdale",2000,Alabama,AL,Lauderdale,Al Gore,democrat,13875.0,32137,"Alabama, Lauderdale"
"Alabama, Lauderdale",2000,Alabama,AL,Lauderdale,George W. Bush,republican,17478.0,32137,"Alabama, Lauderdale"
"Alabama, Lauderdale",2000,Alabama,AL,Lauderdale,Ralph Nader,green,354.0,32137,"Alabama, Lauderdale"
"Alabama, Lawrence",2000,Alabama,AL,Lawrence,Al Gore,democrat,6296.0,12185,"Alabama, Lawrence"
"Alabama, Lawrence",2000,Alabama,AL,Lawrence,George W. Bush,republican,5671.0,12185,"Alabama, Lawrence"
"Alabama, Lawrence",2000,Alabama,AL,Lawrence,Ralph Nader,green,63.0,12185,"Alabama, Lawrence"
"Alabama, Lee",2000,Alabama,AL,Lee,Al Gore,democrat,14574.0,38264,"Alabama, Lee"
"Alabama, Lee",2000,Alabama,AL,Lee,George W. Bush,republican,22433.0,38264,"Alabama, Lee"
"Alabama, Lee",2000,Alabama,AL,Lee,Ralph Nader,green,895.0,38264,"Alabama, Lee"
"Alabama, Limestone",2000,Alabama,AL,Limestone,Al Gore,democrat,8992.0,23634,"Alabama, Limestone"
"Alabama, Limestone",2000,Alabama,AL,Limestone,George W. Bush,republican,14204.0,23634,"Alabama, Limestone"
"Alabama, Limestone",2000,Alabama,AL,Limestone,Ralph Nader,green,193.0,23634,"Alabama, Limestone"
"Alabama, Lowndes",2000,Alabama,AL,Lowndes,Al Gore,democrat,4557.0,6243,"Alabama, Lowndes"
"Alabama, Lowndes",2000,Alabama,AL,Lowndes,George W. Bush,republican,1638.0,6243,"Alabama, Lowndes"
"Alabama, Lowndes",2000,Alabama,AL,Lowndes,Ralph Nader,green,18.0,6243,"Alabama, Lowndes"
"Alabama, Macon",2000,Alabama,AL,Macon,Al Gore,democrat,7665.0,8831,"Alabama, Macon"
"Alabama, Macon",2000,Alabama,AL,Macon,George W. Bush,republican,1091.0,8831,"Alabama, Macon"
"Alabama, Macon",2000,Alabama,AL,Macon,Ralph Nader,green,31.0,8831,"Alabama, Macon"
"Alabama, Madison",2000,Alabama,AL,Madison,Al Gore,democrat,48199.0,113318,"Alabama, Madison"
"Alabama, Madison",2000,Alabama,AL,Madison,George W. Bush,republican,62151.0,113318,"Alabama, Madison"
"Alabama, Madison",2000,Alabama,AL,Madison,Ralph Nader,green,1885.0,113318,"Alabama, Madison"
"Alabama, Marengo",2000,Alabama,AL,Marengo,Al Gore,democrat,4841.0,9608,"Alabama, Marengo"
"Alabama, Marengo",2000,Alabama,AL,Marengo,George W. Bush,republican,4690.0,9608,"Alabama, Marengo"
"Alabama, Marengo",2000,Alabama,AL,Marengo,Ralph Nader,green,40.0,9608,"Alabama, Marengo"
"Alabama, Marion",2000,Alabama,AL,Marion,Al Gore,democrat,4600.0,11756,"Alabama, Marion"
"Alabama, Marion",2000,Alabama,AL,Marion,George W. Bush,republican,6910.0,11756,"Alabama, Marion"
"Alabama, Marion",2000,Alabama,AL,Marion,Ralph Nader,green,125.0,11756,"Alabama, Marion"
"Alabama, Marshall",2000,Alabama,AL,Marshall,Al Gore,democrat,10381.0,27989,"Alabama, Marshall"
"Alabama, Marshall",2000,Alabama,AL,Marshall,George W. Bush,republican,17084.0,27989,"Alabama, Marshall"
"Alabama, Marshall",2000,Alabama,AL,Marshall,Ralph Nader,green,256.0,27989,"Alabama, Marshall"
"Alabama, Mobile",2000,Alabama,AL,Mobile,Al Gore,democrat,58640.0,139745,"Alabama, Mobile"
"Alabama, Mobile",2000,Alabama,AL,Mobile,George W. Bush,republican,78162.0,139745,"Alabama, Mobile"
"Alabama, Mobile",2000,Alabama,AL,Mobile,Ralph Nader,green,1585.0,139745,"Alabama, Mobile"
"Alabama, Monroe",2000,Alabama,AL,Monroe,Al Gore,democrat,3741.0,8951,"Alabama, Monroe"
"Alabama, Monroe",2000,Alabama,AL,Monroe,George W. Bush,republican,5153.0,8951,"Alabama, Monroe"
"Alabama, Monroe",2000,Alabama,AL,Monroe,Ralph Nader,green,25.0,8951,"Alabama, Monroe"
"Alabama, Montgomery",2000,Alabama,AL,Montgomery,Al Gore,democrat,40371.0,80328,"Alabama, Montgomery"
"Alabama, Montgomery",2000,Alabama,AL,Montgomery,George W. Bush,republican,38827.0,80328,"Alabama, Montgomery"
"Alabama, Montgomery",2000,Alabama,AL,Montgomery,Ralph Nader,green,677.0,80328,"Alabama, Montgomery"
"Alabama, Morgan",2000,Alabama,AL,Morgan,Al Gore,democrat,16060.0,42681,"Alabama, Morgan"
"Alabama, Morgan",2000,Alabama,AL,Morgan,George W. Bush,republican,25774.0,42681,"Alabama, Morgan"
"Alabama, Morgan",2000,Alabama,AL,Morgan,Ralph Nader,green,450.0,42681,"Alabama, Morgan"
"Alabama, Perry",2000,Alabama,AL,Perry,Al Gore,democrat,4020.0,5787,"Alabama, Perry"
"Alabama, Perry",2000,Alabama,AL,Perry,George W. Bush,republican,1732.0,5787,"Alabama, Perry"
"Alabama, Perry",2000,Alabama,AL,Perry,Ralph Nader,green,18.0,5787,"Alabama, Perry"
"Alabama, Pickens",2000,Alabama,AL,Pickens,Al Gore,democrat,4143.0,8540,"Alabama, Pickens"
"Alabama, Pickens",2000,Alabama,AL,Pickens,George W. Bush,republican,4306.0,8540,"Alabama, Pickens"
"Alabama, Pickens",2000,Alabama,AL,Pickens,Ralph Nader,green,39.0,8540,"Alabama, Pickens"
"Alabama, Pike",2000,Alabama,AL,Pike,Al Gore,democrat,4357.0,10544,"Alabama, Pike"
"Alabama, Pike",2000,Alabama,AL,Pike,George W. Bush,republican,6058.0,10544,"Alabama, Pike"
"Alabama, Pike",2000,Alabama,AL,Pike,Ralph Nader,green,75.0,10544,"Alabama, Pike"
"Alabama, Randolph",2000,Alabama,AL,Randolph,Al Gore,democrat,3094.0,7919,"Alabama, Randolph"
"Alabama, Randolph",2000,Alabama,AL,Randolph,George W. Bush,republican,4666.0,7919,"Alabama, Randolph"
"Alabama, Randolph",2000,Alabama,AL,Randolph,Ralph Nader,green,60.0,7919,"Alabama, Randolph"
"Alabama, Russell",2000,Alabama,AL,Russell,Al Gore,democrat,8396.0,14775,"Alabama, Russell"
"Alabama, Russell",2000,Alabama,AL,Russell,George W. Bush,republican,6198.0,14775,"Alabama, Russell"
"Alabama, Russell",2000,Alabama,AL,Russell,Ralph Nader,green,109.0,14775,"Alabama, Russell"
"Alabama, Shelby",2000,Alabama,AL,Shelby,Al Gore,democrat,13183.0,62128,"Alabama, Shelby"
"Alabama, Shelby",2000,Alabama,AL,Shelby,George W. Bush,republican,47651.0,62128,"Alabama, Shelby"
"Alabama, Shelby",2000,Alabama,AL,Shelby,Ralph Nader,green,812.0,62128,"Alabama, Shelby"
"Alabama, St. Clair",2000,Alabama,AL,St. Clair,Al Gore,democrat,6485.0,24090,"Alabama, St. Clair"
"Alabama, St. Clair",2000,Alabama,AL,St. Clair,George W. Bush,republican,17117.0,24090,"Alabama, St. Clair"
"Alabama, St. Clair",2000,Alabama,AL,St. Clair,Ralph Nader,green,221.0,24090,"Alabama, St. Clair"
"Alabama, Sumter",2000,Alabama,AL,Sumter,Al Gore,democrat,4415.0,6088,"Alabama, Sumter"
"Alabama, Sumter",2000,Alabama,AL,Sumter,George W. Bush,republican,1629.0,6088,"Alabama, Sumter"
"Alabama, Sumter",2000,Alabama,AL,Sumter,Ralph Nader,green,20.0,6088,"Alabama, Sumter"
"Alabama, Talladega",2000,Alabama,AL,Talladega,Al Gore,democrat,11264.0,25451,"Alabama, Talladega"
"Alabama, Talladega",2000,Alabama,AL,Talladega,George W. Bush,republican,13807.0,25451,"Alabama, Talladega"
"Alabama, Talladega",2000,Alabama,AL,Talladega,Ralph Nader,green,184.0,25451,"Alabama, Talladega"
"Alabama, Tallapoosa",2000,Alabama,AL,Tallapoosa,Al Gore,democrat,6183.0,16253,"Alabama, Tallapoosa"
"Alabama, Tallapoosa",2000,Alabama,AL,Tallapoosa,George W. Bush,republican,9805.0,16253,"Alabama, Tallapoosa"
"Alabama, Tallapoosa",2000,Alabama,AL,Tallapoosa,Ralph Nader,green,153.0,16253,"Alabama, Tallapoosa"
"Alabama, Tuscaloosa",2000,Alabama,AL,Tuscaloosa,Al Gore,democrat,24614.0,60114,"Alabama, Tuscaloosa"
"Alabama, Tuscaloosa",2000,Alabama,AL,Tuscaloosa,George W. Bush,republican,34003.0,60114,"Alabama, Tuscaloosa"
"Alabama, Tuscaloosa",2000,Alabama,AL,Tuscaloosa,Ralph Nader,green,1007.0,60114,"Alabama, Tuscaloosa"
"Alabama, Walker",2000,Alabama,AL,Walker,Al Gore,democrat,11621.0,25641,"Alabama, Walker"
"Alabama, Walker",2000,Alabama,AL,Walker,George W. Bush,republican,13486.0,25641,"Alabama, Walker"
"Alabama, Walker",2000,Alabama,AL,Walker,Ralph Nader,green,264.0,25641,"Alabama, Walker"
"Alabama, Washington",2000,Alabama,AL,Washington,Al Gore,democrat,3386.0,7596,"Alabama, Washington"
"Alabama, Washington",2000,Alabama,AL,Washington,George W. Bush,republican,4117.0,7596,"Alabama, Washington"
"Alabama, Washington",2000,Alabama,AL,Washington,Ralph Nader,green,26.0,7596,"Alabama, Washington"
"Alabama, Wilcox",2000,Alabama,AL,Wilcox,Al Gore,democrat,3444.0,5126,"Alabama, Wilcox"
"Alabama, Wilcox",2000,Alabama,AL,Wilcox,George W. Bush,republican,1661.0,5126,"Alabama, Wilcox"
"Alabama, Wilcox",2000,Alabama,AL,Wilcox,Ralph Nader,green,6.0,5126,"Alabama, Wilcox"
"Alabama, Winston",2000,Alabama,AL,Winston,Al Gore,democrat,2692.0,9318,"Alabama, Winston"
"Alabama, Winston",2000,Alabama,AL,Winston,George W. Bush,republican,6413.0,9318,"Alabama, Winston"
"Alabama, Winston",2000,Alabama,AL,Winston,Ralph Nader,green,88.0,9318,"Alabama, Winston"
"Arizona, Apache",2000,Arizona,AZ,Apache,Al Gore,democrat,13025.0,19456,"Arizona, Apache"
"Arizona, Apache",2000,Arizona,AZ,Apache,George W. Bush,republican,5947.0,19456,"Arizona, Apache"
"Arizona, Apache",2000,Arizona,AZ,Apache,Ralph Nader,green,245.0,19456,"Arizona, Apache"
"Arizona, Cochise",2000,Arizona,AZ,Cochise,Al Gore,democrat,13360.0,33241,"Arizona, Cochise"
"Arizona, Cochise",2000,Arizona,AZ,Cochise,George W. Bush,republican,18180.0,33241,"Arizona, Cochise"
"Arizona, Cochise",2000,Arizona,AZ,Cochise,Ralph Nader,green,1113.0,33241,"Arizona, Cochise"
"Arizona, Coconino",2000,Arizona,AZ,Coconino,Al Gore,democrat,20280.0,40883,"Arizona, Coconino"
"Arizona, Coconino",2000,Arizona,AZ,Coconino,George W. Bush,republican,17562.0,40883,"Arizona, Coconino"
"Arizona, Coconino",2000,Arizona,AZ,Coconino,Ralph Nader,green,2478.0,40883,"Arizona, Coconino"
"Arizona, Gila",2000,Arizona,AZ,Gila,Al Gore,democrat,7700.0,17736,"Arizona, Gila"
"Arizona, Gila",2000,Arizona,AZ,Gila,George W. Bush,republican,9158.0,17736,"Arizona, Gila"
"Arizona, Gila",2000,Arizona,AZ,Gila,Ralph Nader,green,497.0,17736,"Arizona, Gila"
"Arizona, Graham",2000,Arizona,AZ,Graham,Al Gore,democrat,3355.0,9664,"Arizona, Graham"
"Arizona, Graham",2000,Arizona,AZ,Graham,George W. Bush,republican,6007.0,9664,"Arizona, Graham"
"Arizona, Graham",2000,Arizona,AZ,Graham,Ralph Nader,green,144.0,9664,"Arizona, Graham"
"Arizona, Greenlee",2000,Arizona,AZ,Greenlee,Al Gore,democrat,1216.0,2960,"Arizona, Greenlee"
"Arizona, Greenlee",2000,Arizona,AZ,Greenlee,George W. Bush,republican,1619.0,2960,"Arizona, Greenlee"
"Arizona, Greenlee",2000,Arizona,AZ,Greenlee,Ralph Nader,green,68.0,2960,"Arizona, Greenlee"
"Arizona, La Paz",2000,Arizona,AZ,La Paz,Al Gore,democrat,1769.0,4483,"Arizona, La Paz"
"Arizona, La Paz",2000,Arizona,AZ,La Paz,George W. Bush,republican,2543.0,4483,"Arizona, La Paz"
"Arizona, La Paz",2000,Arizona,AZ,La Paz,Ralph Nader,green,91.0,4483,"Arizona, La Paz"
"Arizona, Maricopa",2000,Arizona,AZ,Maricopa,Al Gore,democrat,386683.0,901699,"Arizona, Maricopa"
"Arizona, Maricopa",2000,Arizona,AZ,Maricopa,George W. Bush,republican,479967.0,901699,"Arizona, Maricopa"
"Arizona, Maricopa",2000,Arizona,AZ,Maricopa,Ralph Nader,green,22465.0,901699,"Arizona, Maricopa"
"Arizona, Mohave",2000,Arizona,AZ,Mohave,Al Gore,democrat,17470.0,44141,"Arizona, Mohave"
"Arizona, Mohave",2000,Arizona,AZ,Mohave,George W. Bush,republican,24386.0,44141,"Arizona, Mohave"
"Arizona, Mohave",2000,Arizona,AZ,Mohave,Ralph Nader,green,1323.0,44141,"Arizona, Mohave"
"Arizona, Navajo",2000,Arizona,AZ,Navajo,Al Gore,democrat,11794.0,25147,"Arizona, Navajo"
"Arizona, Navajo",2000,Arizona,AZ,Navajo,George W. Bush,republican,12386.0,25147,"Arizona, Navajo"
"Arizona, Navajo",2000,Arizona,AZ,Navajo,Ralph Nader,green,517.0,25147,"Arizona, Navajo"
"Arizona, Pima",2000,Arizona,AZ,Pima,Al Gore,democrat,147688.0,287640,"Arizona, Pima"
"Arizona, Pima",2000,Arizona,AZ,Pima,George W. Bush,republican,124579.0,287640,"Arizona, Pima"
"Arizona, Pima",2000,Arizona,AZ,Pima,Ralph Nader,green,12355.0,287640,"Arizona, Pima"
"Arizona, Pinal",2000,Arizona,AZ,Pinal,Al Gore,democrat,19650.0,41290,"Arizona, Pinal"
"Arizona, Pinal",2000,Arizona,AZ,Pinal,George W. Bush,republican,20122.0,41290,"Arizona, Pinal"
"Arizona, Pinal",2000,Arizona,AZ,Pinal,Ralph Nader,green,904.0,41290,"Arizona, Pinal"
"Arizona, Santa Cruz",2000,Arizona,AZ,Santa Cruz,Al Gore,democrat,5233.0,8893,"Arizona, Santa Cruz"
"Arizona, Santa Cruz",2000,Arizona,AZ,Santa Cruz,George W. Bush,republican,3344.0,8893,"Arizona, Santa Cruz"
"Arizona, Santa Cruz",2000,Arizona,AZ,Santa Cruz,Ralph Nader,green,217.0,8893,"Arizona, Santa Cruz"
"Arizona, Yavapai",2000,Arizona,AZ,Yavapai,Al Gore,democrat,24063.0,68228,"Arizona, Yavapai"
"Arizona, Yavapai",2000,Arizona,AZ,Yavapai,George W. Bush,republican,40144.0,68228,"Arizona, Yavapai"
"Arizona, Yavapai",2000,Arizona,AZ,Yavapai,Ralph Nader,green,2733.0,68228,"Arizona, Yavapai"
