County,State,State_Code,Location,Year,Party,Candidate,Candidate_Votes,Total_Votes,County_Pop_2016
Colbert,Alabama,AL,"Alabama, Colbert",2016,democrat,Hillary Clinton,7312.0,24915,"54,497"
Colbert,Alabama,AL,"Alabama, Colbert",2016,republican,Donald Trump,16746.0,24915,"54,497"
Conecuh,Alabama,AL,"Alabama, Conecuh",2016,democrat,Hillary Clinton,3080.0,6585,"12,500"
Conecuh,Alabama,AL,"Alabama, Conecuh",2016,republican,Donald Trump,3420.0,6585,"12,500"
Coosa,Alabama,AL,"Alabama, Coosa",2016,democrat,Hillary Clinton,1782.0,5252,"10,819"
Coosa,Alabama,AL,"Alabama, Coosa",2016,republican,Donald Trump,3381.0,5252,"10,819"
Covington,Alabama,AL,"Alabama, Covington",2016,democrat,Hillary Clinton,2387.0,15940,"37,382"
Covington,Alabama,AL,"Alabama, Covington",2016,republican,Donald Trump,13267.0,15940,"37,382"
Crenshaw,Alabama,AL,"Alabama, Crenshaw",2016,democrat,Hillary Clinton,1664.0,6267,"13,916"
Crenshaw,Alabama,AL,"Alabama, Crenshaw",2016,republican,Donald Trump,4513.0,6267,"13,916"
Cullman,Alabama,AL,"Alabama, Cullman",2016,democrat,Hillary Clinton,3798.0,37873,"82,450"
Cullman,Alabama,AL,"Alabama, Cullman",2016,republican,Donald Trump,32989.0,37873,"82,450"
Dale,Alabama,AL,"Alabama, Dale",2016,democrat,Hillary Clinton,4413.0,18749,"49,362"
Dale,Alabama,AL,"Alabama, Dale",2016,republican,Donald Trump,13808.0,18749,"49,362"
Dallas,Alabama,AL,"Alabama, Dallas",2016,democrat,Hillary Clinton,12836.0,18792,"40,080"
Dallas,Alabama,AL,"Alabama, Dallas",2016,republican,Donald Trump,5789.0,18792,"40,080"
DeKalb,Alabama,AL,"Alabama, DeKalb",2016,democrat,Hillary Clinton,3622.0,25826,"71,104"
DeKalb,Alabama,AL,"Alabama, DeKalb",2016,republican,Donald Trump,21405.0,25826,"71,104"
Elmore,Alabama,AL,"Alabama, Elmore",2016,democrat,Hillary Clinton,8443.0,37260,"81,204"
Elmore,Alabama,AL,"Alabama, Elmore",2016,republican,Donald Trump,27634.0,37260,"81,204"
Escambia,Alabama,AL,"Alabama, Escambia",2016,democrat,Hillary Clinton,4605.0,14845,"37,475"
Escambia,Alabama,AL,"Alabama, Escambia",2016,republican,Donald Trump,9935.0,14845,"37,475"
Etowah,Alabama,AL,"Alabama, Etowah",2016,democrat,Hillary Clinton,10442.0,44164,"102,855"
Etowah,Alabama,AL,"Alabama, Etowah",2016,republican,Donald Trump,32353.0,44164,"102,855"
Fayette,Alabama,AL,"Alabama, Fayette",2016,democrat,Hillary Clinton,1362.0,8249,"16,563"
Fayette,Alabama,AL,"Alabama, Fayette",2016,republican,Donald Trump,6712.0,8249,"16,563"
Franklin,Alabama,AL,"Alabama, Franklin",2016,democrat,Hillary Clinton,2197.0,12040,"31,611"
Franklin,Alabama,AL,"Alabama, Franklin",2016,republican,Donald Trump,9466.0,12040,"31,611"
Geneva,Alabama,AL,"Alabama, Geneva",2016,democrat,Hillary Clinton,1525.0,11758,"26,494"
Geneva,Alabama,AL,"Alabama, Geneva",2016,republican,Donald Trump,9994.0,11758,"26,494"
Greene,Alabama,AL,"Alabama, Greene",2016,democrat,Hillary Clinton,4013.0,4880,"8,482"
Greene,Alabama,AL,"Alabama, Greene",2016,republican,Donald Trump,838.0,4880,"8,482"
Hale,Alabama,AL,"Alabama, Hale",2016,democrat,Hillary Clinton,4775.0,8040,"14,828"
Hale,Alabama,AL,"Alabama, Hale",2016,republican,Donald Trump,3173.0,8040,"14,828"
Henry,Alabama,AL,"Alabama, Henry",2016,democrat,Hillary Clinton,2292.0,8072,"17,072"
Henry,Alabama,AL,"Alabama, Henry",2016,republican,Donald Trump,5632.0,8072,"17,072"
Houston,Alabama,AL,"Alabama, Houston",2016,democrat,Hillary Clinton,10664.0,42639,"104,218"
Houston,Alabama,AL,"Alabama, Houston",2016,republican,Donald Trump,30728.0,42639,"104,218"
Jackson,Alabama,AL,"Alabama, Jackson",2016,democrat,Hillary Clinton,3673.0,20984,"51,988"
Jackson,Alabama,AL,"Alabama, Jackson",2016,republican,Donald Trump,16672.0,20984,"51,988"
Jefferson,Alabama,AL,"Alabama, Jefferson",2016,democrat,Hillary Clinton,156873.0,304191,"660,343"
Jefferson,Alabama,AL,"Alabama, Jefferson",2016,republican,Donald Trump,134768.0,304191,"660,343"
Lamar,Alabama,AL,"Alabama, Lamar",2016,democrat,Hillary Clinton,1036.0,6966,"13,928"
Lamar,Alabama,AL,"Alabama, Lamar",2016,republican,Donald Trump,5823.0,6966,"13,928"
Lauderdale,Alabama,AL,"Alabama, Lauderdale",2016,democrat,Hillary Clinton,9952.0,39525,"92,425"
Lauderdale,Alabama,AL,"Alabama, Lauderdale",2016,republican,Donald Trump,27899.0,39525,"92,425"
Lawrence,Alabama,AL,"Alabama, Lawrence",2016,democrat,Hillary Clinton,3627.0,14829,"33,227"
Lawrence,Alabama,AL,"Alabama, Lawrence",2016,republican,Donald Trump,10833.0,14829,"33,227"
Lee,Alabama,AL,"Alabama, Lee",2016,democrat,Hillary Clinton,21230.0,59191,"159,168"
Lee,Alabama,AL,"Alabama, Lee",2016,republican,Donald Trump,34617.0,59191,"159,168"
Limestone,Alabama,AL,"Alabama, Limestone",2016,democrat,Hillary Clinton,9468.0,40294,"92,847"
Limestone,Alabama,AL,"Alabama, Limestone",2016,republican,Donald Trump,29067.0,40294,"92,847"
Lowndes,Alabama,AL,"Alabama, Lowndes",2016,democrat,Hillary Clinton,4883.0,6684,"10,248"
Lowndes,Alabama,AL,"Alabama, Lowndes",2016,republican,Donald Trump,1751.0,6684,"10,248"
Macon,Alabama,AL,"Alabama, Macon",2016,democrat,Hillary Clinton,7566.0,9140,"19,060"
Macon,Alabama,AL,"Alabama, Macon",2016,republican,Donald Trump,1431.0,9140,"19,060"
Madison,Alabama,AL,"Alabama, Madison",2016,democrat,Hillary Clinton,62822.0,163389,"356,729"
Madison,Alabama,AL,"Alabama, Madison",2016,republican,Donald Trump,89520.0,163389,"356,729"
Marengo,Alabama,AL,"Alabama, Marengo",2016,democrat,Hillary Clinton,5615.0,10994,"19,525"
Marengo,Alabama,AL,"Alabama, Marengo",2016,republican,Donald Trump,5233.0,10994,"19,525"
Marion,Alabama,AL,"Alabama, Marion",2016,democrat,Hillary Clinton,1432.0,12984,"29,960"
Marion,Alabama,AL,"Alabama, Marion",2016,republican,Donald Trump,11274.0,12984,"29,960"
Marshall,Alabama,AL,"Alabama, Marshall",2016,democrat,Hillary Clinton,4917.0,35316,"95,113"
Marshall,Alabama,AL,"Alabama, Marshall",2016,republican,Donald Trump,29233.0,35316,"95,113"
Mobile,Alabama,AL,"Alabama, Mobile",2016,democrat,Hillary Clinton,72186.0,172737,"414,945"
Mobile,Alabama,AL,"Alabama, Mobile",2016,republican,Donald Trump,95116.0,172737,"414,945"
Monroe,Alabama,AL,"Alabama, Monroe",2016,democrat,Hillary Clinton,4332.0,10271,"21,548"
Monroe,Alabama,AL,"Alabama, Monroe",2016,republican,Donald Trump,5795.0,10271,"21,548"
Montgomery,Alabama,AL,"Alabama, Montgomery",2016,democrat,Hillary Clinton,58916.0,95878,"227,170"
Montgomery,Alabama,AL,"Alabama, Montgomery",2016,republican,Donald Trump,34003.0,95878,"227,170"
Morgan,Alabama,AL,"Alabama, Morgan",2016,democrat,Hillary Clinton,11254.0,50644,"119,006"
Morgan,Alabama,AL,"Alabama, Morgan",2016,republican,Donald Trump,37486.0,50644,"119,006"
Perry,Alabama,AL,"Alabama, Perry",2016,democrat,Hillary Clinton,3824.0,5278,"9,532"
Perry,Alabama,AL,"Alabama, Perry",2016,republican,Donald Trump,1407.0,5278,"9,532"
Pickens,Alabama,AL,"Alabama, Pickens",2016,democrat,Hillary Clinton,3972.0,9542,"20,325"
Pickens,Alabama,AL,"Alabama, Pickens",2016,republican,Donald Trump,5456.0,9542,"20,325"
Pike,Alabama,AL,"Alabama, Pike",2016,democrat,Hillary Clinton,5056.0,13168,"33,464"
Pike,Alabama,AL,"Alabama, Pike",2016,republican,Donald Trump,7693.0,13168,"33,464"
Randolph,Alabama,AL,"Alabama, Randolph",2016,democrat,Hillary Clinton,2291.0,10187,"22,504"
Randolph,Alabama,AL,"Alabama, Randolph",2016,republican,Donald Trump,7705.0,10187,"22,504"
Russell,Alabama,AL,"Alabama, Russell",2016,democrat,Hillary Clinton,9579.0,19256,"58,185"
Russell,Alabama,AL,"Alabama, Russell",2016,republican,Donald Trump,9210.0,19256,"58,185"
Shelby,Alabama,AL,"Alabama, Shelby",2016,democrat,Hillary Clinton,22977.0,101254,"211,282"
Shelby,Alabama,AL,"Alabama, Shelby",2016,republican,Donald Trump,73020.0,101254,"211,282"
St. Clair,Alabama,AL,"Alabama, St. Clair",2016,democrat,Hillary Clinton,5589.0,38400,
St. Clair,Alabama,AL,"Alabama, St. Clair",2016,republican,Donald Trump,31651.0,38400,
Sumter,Alabama,AL,"Alabama, Sumter",2016,democrat,Hillary Clinton,4746.0,6411,"12,967"
Sumter,Alabama,AL,"Alabama, Sumter",2016,republican,Donald Trump,1581.0,6411,"12,967"
Talladega,Alabama,AL,"Alabama, Talladega",2016,democrat,Hillary Clinton,12121.0,33407,"80,552"
Talladega,Alabama,AL,"Alabama, Talladega",2016,republican,Donald Trump,20614.0,33407,"80,552"
Tallapoosa,Alabama,AL,"Alabama, Tallapoosa",2016,democrat,Hillary Clinton,5519.0,19486,"40,586"
Tallapoosa,Alabama,AL,"Alabama, Tallapoosa",2016,republican,Donald Trump,13594.0,19486,"40,586"
Tuscaloosa,Alabama,AL,"Alabama, Tuscaloosa",2016,democrat,Hillary Clinton,31762.0,82700,"206,464"
Tuscaloosa,Alabama,AL,"Alabama, Tuscaloosa",2016,republican,Donald Trump,47723.0,82700,"206,464"
Walker,Alabama,AL,"Alabama, Walker",2016,democrat,Hillary Clinton,4497.0,29472,"64,533"
Walker,Alabama,AL,"Alabama, Walker",2016,republican,Donald Trump,24266.0,29472,"64,533"
Washington,Alabama,AL,"Alabama, Washington",2016,democrat,Hillary Clinton,2374.0,8533,"16,621"
Washington,Alabama,AL,"Alabama, Washington",2016,republican,Donald Trump,6042.0,8533,"16,621"
Wilcox,Alabama,AL,"Alabama, Wilcox",2016,democrat,Hillary Clinton,4339.0,6118,"10,844"
Wilcox,Alabama,AL,"Alabama, Wilcox",2016,republican,Donald Trump,1737.0,6118,"10,844"
Winston,Alabama,AL,"Alabama, Winston",2016,democrat,Hillary Clinton,872.0,10313,"23,907"
Winston,Alabama,AL,"Alabama, Winston",2016,republican,Donald Trump,9228.0,10313,"23,907"
Apache,Arizona,AZ,"Arizona, Apache",2016,democrat,Hillary Clinton,17083.0,27661,"71,381"
Apache,Arizona,AZ,"Arizona, Apache",2016,republican,Donald Trump,8240.0,27661,"71,381"
Cochise,Arizona,AZ,"Arizona, Cochise",2016,democrat,Hillary Clinton,17450.0,50015,"125,686"
Cochise,Arizona,AZ,"Arizona, Cochise",2016,republican,Donald Trump,28092.0,50015,"125,686"
Coconino,Arizona,AZ,"Arizona, Coconino",2016,democrat,Hillary Clinton,32404.0,59784,"140,407"
Coconino,Arizona,AZ,"Arizona, Coconino",2016,republican,Donald Trump,21108.0,59784,"140,407"
Gila,Arizona,AZ,"Arizona, Gila",2016,democrat,Hillary Clinton,7003.0,36697,"53,356"
Gila,Arizona,AZ,"Arizona, Gila",2016,republican,Donald Trump,14182.0,36697,"53,356"
Graham,Arizona,AZ,"Arizona, Graham",2016,democrat,Hillary Clinton,3301.0,20306,"37,807"
Graham,Arizona,AZ,"Arizona, Graham",2016,republican,Donald Trump,8025.0,20306,"37,807"
Greenlee,Arizona,AZ,"Arizona, Greenlee",2016,democrat,Hillary Clinton,1092.0,5192,"9,643"
Greenlee,Arizona,AZ,"Arizona, Greenlee",2016,republican,Donald Trump,1892.0,5192,"9,643"
La Paz,Arizona,AZ,"Arizona, La Paz",2016,democrat,Hillary Clinton,1575.0,5951,"20,648"
La Paz,Arizona,AZ,"Arizona, La Paz",2016,republican,Donald Trump,4003.0,5951,"20,648"
Maricopa,Arizona,AZ,"Arizona, Maricopa",2016,democrat,Hillary Clinton,702907.0,1567834,"4,256,143"
Maricopa,Arizona,AZ,"Arizona, Maricopa",2016,republican,Donald Trump,747361.0,1567834,"4,256,143"
Mohave,Arizona,AZ,"Arizona, Mohave",2016,democrat,Hillary Clinton,17455.0,79943,"205,412"
Mohave,Arizona,AZ,"Arizona, Mohave",2016,republican,Donald Trump,58282.0,79943,"205,412"
Navajo,Arizona,AZ,"Arizona, Navajo",2016,democrat,Hillary Clinton,16459.0,40294,"108,467"
Navajo,Arizona,AZ,"Arizona, Navajo",2016,republican,Donald Trump,20577.0,40294,"108,467"
Pima,Arizona,AZ,"Arizona, Pima",2016,democrat,Hillary Clinton,224661.0,421640,"1,016,707"
Pima,Arizona,AZ,"Arizona, Pima",2016,republican,Donald Trump,167428.0,421640,"1,016,707"
Pinal,Arizona,AZ,"Arizona, Pinal",2016,democrat,Hillary Clinton,47892.0,129546,"417,193"
Pinal,Arizona,AZ,"Arizona, Pinal",2016,republican,Donald Trump,72819.0,129546,"417,193"
Santa Cruz,Arizona,AZ,"Arizona, Santa Cruz",2016,democrat,Hillary Clinton,11690.0,16433,"46,400"
Santa Cruz,Arizona,AZ,"Arizona, Santa Cruz",2016,republican,Donald Trump,3897.0,16433,"46,400"
Yavapai,Arizona,AZ,"Arizona, Yavapai",2016,democrat,Hillary Clinton,35590.0,114450,"224,575"
Yavapai,Arizona,AZ,"Arizona, Yavapai",2016,republican,Donald Trump,71330.0,114450,"224,575"
Yuma,Arizona,AZ,"Arizona, Yuma",2016,democrat,Hillary Clinton,24605.0,53010,"207,247"
Yuma,Arizona,AZ,"Arizona, Yuma",2016,republican,Donald Trump,25165.0,53010,"207,247"
Arkansas,Arkansas,AR,"Arkansas, Arkansas",2016,democrat,Hillary Clinton,1939.0,6212,"18,154"
Arkansas,Arkansas,AR,"Arkansas, Arkansas",2016,republican,Donald Trump,3826.0,6212,"18,154"
Ashley,Arkansas,AR,"Arkansas, Ashley",2016,democrat,Hillary Clinton,2408.0,8083,"20,530"
Ashley,Arkansas,AR,"Arkansas, Ashley",2016,republican,Donald Trump,5338.0,8083,"20,530"
Baxter,Arkansas,AR,"Arkansas, Baxter",2016,democrat,Hillary Clinton,4169.0,19766,"41,131"
Baxter,Arkansas,AR,"Arkansas, Baxter",2016,republican,Donald Trump,14682.0,19766,"41,131"
Benton,Arkansas,AR,"Arkansas, Benton",2016,democrat,Hillary Clinton,28005.0,96824,"259,212"
Benton,Arkansas,AR,"Arkansas, Benton",2016,republican,Donald Trump,60871.0,96824,"259,212"
Boone,Arkansas,AR,"Arkansas, Boone",2016,democrat,Hillary Clinton,2926.0,16111,"37,259"
Boone,Arkansas,AR,"Arkansas, Boone",2016,republican,Donald Trump,12235.0,16111,"37,259"
Bradley,Arkansas,AR,"Arkansas, Bradley",2016,democrat,Hillary Clinton,1317.0,3653,"10,959"
Bradley,Arkansas,AR,"Arkansas, Bradley",2016,republican,Donald Trump,2164.0,3653,"10,959"
Calhoun,Arkansas,AR,"Arkansas, Calhoun",2016,democrat,Hillary Clinton,639.0,2269,"5,143"
Calhoun,Arkansas,AR,"Arkansas, Calhoun",2016,republican,Donald Trump,1556.0,2269,"5,143"
Carroll,Arkansas,AR,"Arkansas, Carroll",2016,democrat,Hillary Clinton,3342.0,10758,"27,728"
Carroll,Arkansas,AR,"Arkansas, Carroll",2016,republican,Donald Trump,6786.0,10758,"27,728"
Chicot,Arkansas,AR,"Arkansas, Chicot",2016,democrat,Hillary Clinton,2350.0,4176,"10,899"
Chicot,Arkansas,AR,"Arkansas, Chicot",2016,republican,Donald Trump,1716.0,4176,"10,899"
Clark,Arkansas,AR,"Arkansas, Clark",2016,democrat,Hillary Clinton,3620.0,8526,"22,602"
Clark,Arkansas,AR,"Arkansas, Clark",2016,republican,Donald Trump,4404.0,8526,"22,602"
Clay,Arkansas,AR,"Arkansas, Clay",2016,democrat,Hillary Clinton,1199.0,5200,"15,060"
Clay,Arkansas,AR,"Arkansas, Clay",2016,republican,Donald Trump,3781.0,5200,"15,060"
Cleburne,Arkansas,AR,"Arkansas, Cleburne",2016,democrat,Hillary Clinton,2101.0,12085,"25,173"
Cleburne,Arkansas,AR,"Arkansas, Cleburne",2016,republican,Donald Trump,9458.0,12085,"25,173"
Cleveland,Arkansas,AR,"Arkansas, Cleveland",2016,democrat,Hillary Clinton,723.0,3354,"8,245"
Cleveland,Arkansas,AR,"Arkansas, Cleveland",2016,republican,Donald Trump,2462.0,3354,"8,245"
Columbia,Arkansas,AR,"Arkansas, Columbia",2016,democrat,Hillary Clinton,3140.0,8887,"24,026"
Columbia,Arkansas,AR,"Arkansas, Columbia",2016,republican,Donald Trump,5456.0,8887,"24,026"
Conway,Arkansas,AR,"Arkansas, Conway",2016,democrat,Hillary Clinton,2656.0,7927,"20,874"
Conway,Arkansas,AR,"Arkansas, Conway",2016,republican,Donald Trump,4849.0,7927,"20,874"
Craighead,Arkansas,AR,"Arkansas, Craighead",2016,democrat,Hillary Clinton,10538.0,35573,"105,932"
Craighead,Arkansas,AR,"Arkansas, Craighead",2016,republican,Donald Trump,22892.0,35573,"105,932"
Crawford,Arkansas,AR,"Arkansas, Crawford",2016,democrat,Hillary Clinton,4488.0,22450,"62,263"
Crawford,Arkansas,AR,"Arkansas, Crawford",2016,republican,Donald Trump,16686.0,22450,"62,263"
Crittenden,Arkansas,AR,"Arkansas, Crittenden",2016,democrat,Hillary Clinton,8410.0,15952,"49,306"
Crittenden,Arkansas,AR,"Arkansas, Crittenden",2016,republican,Donald Trump,6964.0,15952,"49,306"
Cross,Arkansas,AR,"Arkansas, Cross",2016,democrat,Hillary Clinton,1999.0,6874,"17,025"
Cross,Arkansas,AR,"Arkansas, Cross",2016,republican,Donald Trump,4584.0,6874,"17,025"
Dallas,Arkansas,AR,"Arkansas, Dallas",2016,democrat,Hillary Clinton,1165.0,2771,"7,399"
Dallas,Arkansas,AR,"Arkansas, Dallas",2016,republican,Donald Trump,1509.0,2771,"7,399"
Desha,Arkansas,AR,"Arkansas, Desha",2016,democrat,Hillary Clinton,2228.0,4257,"11,905"
Desha,Arkansas,AR,"Arkansas, Desha",2016,republican,Donald Trump,1919.0,4257,"11,905"
Drew,Arkansas,AR,"Arkansas, Drew",2016,democrat,Hillary Clinton,2365.0,6595,"18,553"
Drew,Arkansas,AR,"Arkansas, Drew",2016,republican,Donald Trump,3968.0,6595,"18,553"
Faulkner,Arkansas,AR,"Arkansas, Faulkner",2016,democrat,Hillary Clinton,14629.0,47527,"122,206"
Faulkner,Arkansas,AR,"Arkansas, Faulkner",2016,republican,Donald Trump,29346.0,47527,"122,206"
Franklin,Arkansas,AR,"Arkansas, Franklin",2016,democrat,Hillary Clinton,1376.0,6770,"17,655"
Franklin,Arkansas,AR,"Arkansas, Franklin",2016,republican,Donald Trump,5039.0,6770,"17,655"
Fulton,Arkansas,AR,"Arkansas, Fulton",2016,democrat,Hillary Clinton,1067.0,4772,"12,099"
Fulton,Arkansas,AR,"Arkansas, Fulton",2016,republican,Donald Trump,3471.0,4772,"12,099"
Garland,Arkansas,AR,"Arkansas, Garland",2016,democrat,Hillary Clinton,12311.0,40805,"98,282"
Garland,Arkansas,AR,"Arkansas, Garland",2016,republican,Donald Trump,26087.0,40805,"98,282"
Grant,Arkansas,AR,"Arkansas, Grant",2016,democrat,Hillary Clinton,1373.0,7445,"18,064"
Grant,Arkansas,AR,"Arkansas, Grant",2016,republican,Donald Trump,5725.0,7445,"18,064"
Greene,Arkansas,AR,"Arkansas, Greene",2016,democrat,Hillary Clinton,3071.0,14600,"44,730"
Greene,Arkansas,AR,"Arkansas, Greene",2016,republican,Donald Trump,10720.0,14600,"44,730"
Hempstead,Arkansas,AR,"Arkansas, Hempstead",2016,democrat,Hillary Clinton,2377.0,7049,"22,032"
Hempstead,Arkansas,AR,"Arkansas, Hempstead",2016,republican,Donald Trump,4401.0,7049,"22,032"
Hot Spring,Arkansas,AR,"Arkansas, Hot Spring",2016,democrat,Hillary Clinton,3149.0,11944,"33,438"
Hot Spring,Arkansas,AR,"Arkansas, Hot Spring",2016,republican,Donald Trump,8172.0,11944,"33,438"
Howard,Arkansas,AR,"Arkansas, Howard",2016,democrat,Hillary Clinton,1351.0,4674,"13,350"
Howard,Arkansas,AR,"Arkansas, Howard",2016,republican,Donald Trump,3157.0,4674,"13,350"
Independence,Arkansas,AR,"Arkansas, Independence",2016,democrat,Hillary Clinton,2881.0,13614,"37,117"
Independence,Arkansas,AR,"Arkansas, Independence",2016,republican,Donald Trump,9936.0,13614,"37,117"
Izard,Arkansas,AR,"Arkansas, Izard",2016,democrat,Hillary Clinton,1113.0,5448,"13,488"
Izard,Arkansas,AR,"Arkansas, Izard",2016,republican,Donald Trump,4042.0,5448,"13,488"
Jackson,Arkansas,AR,"Arkansas, Jackson",2016,democrat,Hillary Clinton,1583.0,5156,"17,282"
Jackson,Arkansas,AR,"Arkansas, Jackson",2016,republican,Donald Trump,3267.0,5156,"17,282"
Jefferson,Arkansas,AR,"Arkansas, Jefferson",2016,democrat,Hillary Clinton,15772.0,25894,"70,407"
Jefferson,Arkansas,AR,"Arkansas, Jefferson",2016,republican,Donald Trump,9250.0,25894,"70,407"
Johnson,Arkansas,AR,"Arkansas, Johnson",2016,democrat,Hillary Clinton,2427.0,9112,"26,127"
Johnson,Arkansas,AR,"Arkansas, Johnson",2016,republican,Donald Trump,6091.0,9112,"26,127"
Lafayette,Arkansas,AR,"Arkansas, Lafayette",2016,democrat,Hillary Clinton,1032.0,2860,"6,888"
Lafayette,Arkansas,AR,"Arkansas, Lafayette",2016,republican,Donald Trump,1758.0,2860,"6,888"
Lawrence,Arkansas,AR,"Arkansas, Lawrence",2016,democrat,Hillary Clinton,1263.0,5685,"16,639"
Lawrence,Arkansas,AR,"Arkansas, Lawrence",2016,republican,Donald Trump,4064.0,5685,"16,639"
Lee,Arkansas,AR,"Arkansas, Lee",2016,democrat,Hillary Clinton,1735.0,3026,"9,337"
Lee,Arkansas,AR,"Arkansas, Lee",2016,republican,Donald Trump,1229.0,3026,"9,337"
Lincoln,Arkansas,AR,"Arkansas, Lincoln",2016,democrat,Hillary Clinton,1252.0,3826,"13,728"
Lincoln,Arkansas,AR,"Arkansas, Lincoln",2016,republican,Donald Trump,2455.0,3826,"13,728"
Little River,Arkansas,AR,"Arkansas, Little River",2016,democrat,Hillary Clinton,1397.0,5227,"12,406"
Little River,Arkansas,AR,"Arkansas, Little River",2016,republican,Donald Trump,3605.0,5227,"12,406"
Logan,Arkansas,AR,"Arkansas, Logan",2016,democrat,Hillary Clinton,1715.0,7921,"21,732"
Logan,Arkansas,AR,"Arkansas, Logan",2016,republican,Donald Trump,5746.0,7921,"21,732"
Lonoke,Arkansas,AR,"Arkansas, Lonoke",2016,democrat,Hillary Clinton,5664.0,27100,"71,803"
Lonoke,Arkansas,AR,"Arkansas, Lonoke",2016,republican,Donald Trump,19958.0,27100,"71,803"
Madison,Arkansas,AR,"Arkansas, Madison",2016,democrat,Hillary Clinton,1588.0,6841,"16,112"
Madison,Arkansas,AR,"Arkansas, Madison",2016,republican,Donald Trump,4928.0,6841,"16,112"
Marion,Arkansas,AR,"Arkansas, Marion",2016,democrat,Hillary Clinton,1434.0,7107,"16,376"
Marion,Arkansas,AR,"Arkansas, Marion",2016,republican,Donald Trump,5336.0,7107,"16,376"
Miller,Arkansas,AR,"Arkansas, Miller",2016,democrat,Hillary Clinton,4273.0,16091,"43,713"
Miller,Arkansas,AR,"Arkansas, Miller",2016,republican,Donald Trump,11294.0,16091,"43,713"
Mississippi,Arkansas,AR,"Arkansas, Mississippi",2016,democrat,Hillary Clinton,5670.0,13204,"42,900"
Mississippi,Arkansas,AR,"Arkansas, Mississippi",2016,republican,Donald Trump,7061.0,13204,"42,900"
Monroe,Arkansas,AR,"Arkansas, Monroe",2016,democrat,Hillary Clinton,1312.0,2884,"7,205"
Monroe,Arkansas,AR,"Arkansas, Monroe",2016,republican,Donald Trump,1489.0,2884,"7,205"
